#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** GALLIC **;;;;;;;;;;;;;;
** FRANKISH **;;;;;;;;;;;;;;
emperor_frankish;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x
emperor_female_frankish;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x
emperor_title_queen_mother_female_frankish;Impératrice Douairière;Impératrice Douairière;Impératrice Douairière;;Impératrice Douairière;;;;;;;;;x
city_emperor_frankish;Consul;Consul;Consul;;Consul;;;;;;;;;x
city_empire_of_frankish;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_frankish;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_frankish;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
** NORMAN **;;;;;;;;;;;;;;
emperor_norman;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x
emperor_female_norman;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x
emperor_title_queen_mother_female_norman;Impératrice Douairière;Impératrice Douairière;Impératrice Douairière;;Impératrice Douairière;;;;;;;;;x
city_emperor_norman;Grand Chancellier;Grand Chancellier;Grand Chancellier;;Grand Chancellier;;;;;;;;;x
city_empire_of_norman;Confederation of;Confédération de;Konföderation von;;Confederación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_norman;Chancellor;Chancellier;Kanzler;;Canciller;;;;;;;;;x
city_kingdom_of_norman;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_norman;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
